Time,Birmingham Team A,Birmingham Team B,Sheffield Team A,Sheffield Team B,Birmingham Points,Sheffield Points,Exeter Points,Bournemouth Points,Birmingham People,Sheffield People,Exeter People,Bournemouth People
16:00:00,Birmingham 1,Sheffield 1,Exeter 2,Bournemouth,3,0,3,0,7,,8,2
16:10:00,Birmingham 2,Sheffield 2,Exeter 2,Bournemouth,2,0,3,0,5,3,8,2
16:20:00,Sheffield 1,Bournemouth,Birmingham 1,Exeter 1,2,3,0,0,7,7,2,
16:30:00,Sheffield 1,Bournemouth,Birmingham 2,Exeter 2,0,1,3,1,5,5,8,5
16:40:00,Birmingham 1,Bournemouth,Sheffield 2,Exeter 1,2,0,3,0,7,2,8,4
16:50:00,Birmingham 1,Bournemouth,Sheffield 2,Exeter 2,2,0,3,0,5,6,8,4
17:00:00,Bournemouth,Exeter 1,Birmingham 2,Sheffield 1,2,0,0,2,6,4,4,5
17:10:00,Bournemouth,Exeter 1,Birmingham 2,Sheffield 2,3,0,3,0,8,7,7,6
17:20:00,Birmingham 1,Exeter 1,Sheffield 2,Bournemouth,3,0,0,2,8,3,5,7
17:30:00,Birmingham 2,Exeter 2,Sheffield 2,Bournemouth,3,3,0,0,8,8,2,6
17:40:00,Sheffield 1,Exeter 1,Birmingham 1,Bournemouth,1,1,1,1,7,5,5,7
17:50:00,Sheffield 1,Exeter 2,Birmingham 1,Bournemouth,3,0,3,0,8,5,8,4
18:00:00,Birmingham 2,Sheffield 1,Exeter 1,Bournemouth,0,2,3,0,3,4,8,7
18:10:00,Birmingham 1,Sheffield 2,Exeter 1,Bournemouth,2,0,3,0,5,3,8,7
18:20:00,Sheffield 2,Bournemouth,Birmingham 2,Exeter 1,0,2,3,0,7,4,8,3
18:30:00,Sheffield 2,Bournemouth,Birmingham 1,Exeter 2,0,0,3,3,7,4,8,8
18:40:00,Birmingham 2,Bournemouth,Sheffield 1,Exeter 1,3,3,0,0,8,8,7,4
18:50:00,Birmingham 2,Bournemouth,Sheffield 1,Exeter 2,3,3,0,0,7,8,7,4
19:00:00,Bournemouth,Exeter 2,Birmingham 1,Sheffield 1,2,0,3,0,7,,7,4
19:10:00,Bournemouth,Exeter 2,Birmingham 1,Sheffield 2,3,0,3,0,8,7,7,6
19:20:00,Birmingham 2,Exeter 1,Sheffield 1,Bournemouth,2,0,0,3,8,8,3,4
19:30:00,Birmingham 1,Exeter 2,Sheffield 1,Bournemouth,3,3,0,0,7,8,4,6
19:40:00,Sheffield 2,Exeter 1,Birmingham 2,Bournemouth,0,0,3,3,7,2,7,8
19:50:00,Sheffield 2,Exeter 2,Birmingham 2,Bournemouth,3,3,0,0,8,7,5,6
